BIOCHEMICAL,1-ctrl,2-ctrl,3-ctrl,4-ctrl,5-ctrl,6-ctrl,7-ctrl,8-ctrl,9-Lm,10-Lm,11-Lm,12-Lm,13-Lm,14-Lm,15-Lm,16-Cr,17-Cr,18-Cr,19-Cr,21-Cr,22-Cr,23-GF,24-GF,25-GF,26-GF,27-GF,28-GF,29-GF,30-GF,31-GF
(14 or 15)-methylpalmitate (a17:0 or i17:0),9990391,9312489,11099277,14822353,9183641,12422775,9710970,14724463,13453023,16105921,9790968,10880592,9651249,22096318,9413575,9745850,8868853,12443336,14122589,20759008,13980995,13918895,16338255,21195952,17925076,21318970,13369262,18967604,26467436,27415400
(16 or 17)-methylstearate (a19:0 or i19:0),1135291,1123510,1233302,1899208,1140538,1346218,1466484,2808462,2140750,2149755,1414672,2046401,1374708,3860962,1990022,1825521,1958179.875,1357364,2231661,2874957,2474851,1538695,2179209,2281034,1879169,1975218,1893280,1918601,4192802.25,2618641
(R)-3-hydroxybutyrylcarnitine,464532.0313,1187850,3155660,1540046,1535794,1876504,2068816,3169228,18105020,81426464,6376471,23254786,4297616,187497104,6611332,2246894,1907473.125,720038,1159014,2499580,2000726,3140547.25,2846767,3003463,3655776,1891003,2478729,2212586,2558813,2848890
(S)-3-hydroxybutyrylcarnitine,894424,1106620,1601527,825885.0625,1021449,1169588,904956,1225097,7529089.5,26346376,2342415,5922230,2378516,84335080,2649368,1470241,1291212,913138,948777,1511214,1091190,1041694,1278502,1394600,1379015,1267692,1076021,1346282,1278898,1586449
"1,2,3-benzenetriol sulfate (2)",2542841,1235928,911690,866885.0625,371344,263847,339164.0313,231100,233601,1464374,1566612,2473410,2150332,99646.9922,2334901,8112130,2996843,6133176,8128667,9584010,1646571,,,41475,40137,,32829,19692.002,,
"1,2-dilinoleoyl-GPC (18:2/18:2)",1217012608,1208673920,1275141760,1129938432,1166436224,1225190144,1161817088,1254625536,1302792960,1202663296,1149713024,1216657536,1327383296,1183857792,1311393664,1151747456,1075036160,1124096256,1107438080,1085510784,1193953280,1282894080,1407314176,1233239296,1342227968,1457108992,1402088192,1451778944,1396748672,1359458688
"1,2-dioleoyl-GPC (18:1/18:1)",407072416,415773824,415278080,396277920,758347584,614372736,772667328,688950080,222780512,350725408,306669184,245511488,212958864,317336672,244662352,413848960,613021888,423580992,437989888,545134080,447504320,363223808,357476704,409105888,315751744,310881632,337127200,364943360,313720608,370414688
"1,2-dipalmitoyl-GPE (16:0/16:0)*",5245949,5682603,5609379,4051389,3896748,3751926,3787004,4437036,1746116,1107689,1663003,1257595,1429470,1165924,1691538,7440095,7222085,6016333,5993975,6868174,4574815,4933335,3515538,3485979,4703041,3754095,4573406,4240040,3993350,5299047
"1,2-distearoyl-GPC (18:0/18:0)",9179174,10960226,12611808,7051840,12465902,9830402,15523097,15075395,9943185,9053178,7800737,10906365,9355654,8850820,9426650,8046772,6141744,7240288,8925436,9212316,7555391,9665669,9004951,8354933,11309886,8830451,11453277,12092584,10166603,12699293
"1,5-anhydroglucitol (1,5-AG)",31009246,29236680,27735728,33508096,21218158,16697730,17901468,20123952,38169696,45379768,36186340,40543760,34626460,60114152,38063680,24505076,22701954,19597236,20851990,28411954,23266148,17845000,22037204,22837020,22182884,30902394,25434378,22826132,22909158,27817856
1-(1-enyl-oleoyl)-GPE (P-18:1)*,,95567,127098.0078,139215,1067201,150308,1123630,1214776,281141,237666,1095097,1222780,153070,1759418,1246829,1091186,320865,100193,1155122,1410530,1098057,107640,914888,,113367,,490685,95162,1670179,118020
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,548048,464504.9688,579611,714687,700479,884559.9375,662393,808772.0625,1325724,1347569,612439,938855,840243,986295,832332,603046,630038,715302,633231,858787,650368,569404,418070,620918,602066,835892,471967,565388,1080855,882165.0625
